timestamp,price,signal
1600000000000197079,127.48,0
1600000000000197079,127.5,0
1600000000000326856,127.48,0
1600000000000326856,127.5,0
1600000000000421714,127.48,0
1600000000000421714,127.5,0
1600000000000561756,127.49,0
1600000000000561756,127.51,0
1600000000000694854,127.49,0
1600000000000694854,127.51,0
1600000000000765093,127.49,0
1600000000000765093,127.51,0
1600000000000959230,127.49,0
1600000000000959230,127.51,0
1600000000001120181,127.5,0
1600000000001120181,127.52,0
1600000000001211472,127.49,0
1600000000001211472,127.51,0
1600000000001300277,127.5,0
1600000000001300277,127.52,0
1600000000001449108,127.49,0
1600000000001449108,127.51,0
1600000000001648623,127.49,0
1600000000001648623,127.51,0
1600000000001707913,127.49,0
1600000000001707913,127.51,0
1600000000001889196,127.49,0
1600000000001889196,127.51,0
1600000000002022830,127.48,0
1600000000002022830,127.5,0
1600000000002091902,127.48,0
1600000000002091902,127.5,0
1600000000002185192,127.48,0
1600000000002185192,127.5,0
1600000000002320378,127.48,0
1600000000002320378,127.5,0
1600000000002385493,127.47,0
1600000000002385493,127.49,0
1600000000002440642,127.47,0
1600000000002440642,127.49,0
1600000000002532634,127.47,0
1600000000002532634,127.49,0
1600000000002600350,127.47,0
1600000000002600350,127.49,0
1600000000002748074,127.47,0
1600000000002748074,127.49,0
1600000000002811695,127.47,0
1600000000002811695,127.49,0
1600000000002999587,127.47,0
1600000000002999587,127.49,0
1600000000003162652,127.47,0
1600000000003162652,127.49,0
1600000000003243051,127.46,0
1600000000003243051,127.48,0
1600000000003412425,127.46,0
1600000000003412425,127.48,0
1600000000003607499,127.46,0
1600000000003607499,127.48,0
1600000000003700597,127.46,0
1600000000003700597,127.48,0
1600000000003796108,127.46,0
1600000000003796108,127.48,0
1600000000003899351,127.47,0
1600000000003899351,127.49,0
1600000000004064482,127.47,0
1600000000004064482,127.49,0
1600000000004143232,127.46,0
1600000000004143232,127.48,0
1600000000004341614,127.47,0
1600000000004341614,127.49,0
1600000000004447012,127.46,0
1600000000004447012,127.48,0
1600000000004541357,127.46,0
1600000000004541357,127.48,0
1600000000004684787,127.45,0
1600000000004684787,127.47,0
1600000000004849708,127.45,0
1600000000004849708,127.47,0
1600000000004991437,127.45,0
1600000000004991437,127.47,0
1600000000005093280,127.45,0
1600000000005093280,127.47,0
1600000000005284574,127.45,0
1600000000005284574,127.47,0
1600000000005466032,127.45,0
1600000000005466032,127.47,0
1600000000005580366,127.45,0
1600000000005580366,127.47,0
1600000000005697536,127.45,0
1600000000005697536,127.47,0
1600000000005788414,127.45,0
1600000000005788414,127.47,0
1600000000005928766,127.44,0
1600000000005928766,127.46,0
1600000000005997149,127.45,0
1600000000005997149,127.47,0
1600000000006183122,127.45,0
1600000000006183122,127.47,0
1600000000006276011,127.44,0
1600000000006276011,127.46,0
1600000000006340644,127.44,0
1600000000006340644,127.46,0
1600000000006452888,127.44,0
1600000000006452888,127.46,0
1600000000006632065,127.44,0
1600000000006632065,127.46,0
1600000000006823844,127.44,0
1600000000006823844,127.46,0
1600000000006957441,127.45,0
1600000000006957441,127.47,0
1600000000007022556,127.45,0
1600000000007022556,127.47,0
1600000000007147935,127.45,0
1600000000007147935,127.47,0
1600000000007237914,127.45,0
1600000000007237914,127.47,0
1600000000007357291,127.45,0
1600000000007357291,127.47,0
1600000000007413707,127.45,0
1600000000007413707,127.47,0
1600000000007605412,127.45,0
1600000000007605412,127.47,0
1600000000007784197,127.45,0
1600000000007784197,127.47,0
1600000000007965863,127.44,0
1600000000007965863,127.46,0
1600000000008161328,127.44,0
1600000000008161328,127.46,0
1600000000008341692,127.44,0
1600000000008341692,127.46,0
1600000000008489199,127.45,0
1600000000008489199,127.47,0
1600000000008657442,127.45,0
1600000000008657442,127.47,0
1600000000008843375,127.45,0
1600000000008843375,127.47,0
1600000000008996445,127.45,0
1600000000008996445,127.47,0
1600000000009082571,127.45,0
1600000000009082571,127.47,0
1600000000009212953,127.45,0
1600000000009212953,127.47,0
1600000000009281181,127.46,0
1600000000009281181,127.48,0
1600000000009355190,127.46,0
1600000000009355190,127.48,0
1600000000009405284,127.46,0
1600000000009405284,127.48,0
1600000000009535920,127.45,0
1600000000009535920,127.47,0
1600000000009684373,127.46,0
1600000000009684373,127.48,0
1600000000009882875,127.46,0
1600000000009882875,127.48,0
1600000000009987361,127.46,0
1600000000009987361,127.48,0
1600000000010127871,127.46,0
1600000000010127871,127.48,0
1600000000010198731,127.45,0
1600000000010198731,127.47,0
1600000000010321543,127.45,0
1600000000010321543,127.47,0
1600000000010437630,127.45,0
1600000000010437630,127.47,0
1600000000010627188,127.45,0
